"","extreme_type","mean","range","sd","min","max","cv <- sd(flow, na.rm = T)/mean(flow, na.rm = T) * 100"
"1","maximum",212.073394495413,359,61.6835872314596,107,466,29.0859621397694
"2","minimum",6.27411214953271,4.82,0.964779721922123,3.62,8.44,15.3771513630654
